## 1. Goal Model – Detailed Goal Tables  

| **Name** | **Text** | **Runtime** | **Goal Type** | **Target Condition / Enquired Info** | **Relation** |
|----------|----------|-------------|---------------|--------------------------------------|--------------|
| G0 | **Complete Mission** – deliver a meal to a patient’s room and remove all dirty dishes from the room. | `#`  (parallel execution) | Achieve | *Meal delivered to the patient or to the room table* **AND** *no dirty dishes remain in the room* | N/A (root) |
| G1 | **Deliver Meal** – bring a meal from the kitchen to a patient’s room. | `FALLBACK(G1.1, G1.2)` | Achieve | *Meal is delivered to the patient’s location* | AND (child of G0) |
| G1.1 | **Deliver to Table** – place the meal on the patient’s room table. | `-` | Perform | – | OR (child of G1) |
| G1.2 | **Deliver to Tray & Retrieval** – place the meal in the robot’s tray and let the patient (or companion/nurse) retrieve it. | `;` | Perform | – | OR (child of G1) |
| G1.2.0 | **Query Retrieval Capability** – check if the patient, companion or nurse can retrieve the meal. | `-` | Query | *can_patient_retrieve* (boolean) | AND (child of G1.2) |
| G1.2.1 | **Place Tray in Room** – deposit the tray in the patient’s room. | `-` | Perform | – | AND (child of G1.2) |
| G1.2.2 | **Wait for Retrieval** – wait until the patient retrieves the meal. | `-` | Perform | – | AND (child of G1.2) |
| G1.2.3 | **Confirm Retrieval** – verify that the correct meal was retrieved. | `-` | Perform | – | AND (child of G1.2) |
| G1.2.4 | **Alert Wrong Meal** – raise an alarm if the wrong meal was retrieved. | `-` | Perform | – | AND (child of G1.2) |
| G2 | **Remove Dirty Dishes** – clear all dirty dishes from the patient’s room. | `FALLBACK(G2.1, G2.2, G2.3)` | Achieve | *No dirty dishes remain in the room* | AND (child of G0) |
| G2.1 | **Unassisted Retrieval** – fetch dishes without help. | `-` | Perform | – | OR (child of G2) |
| G2.2 | **Robot‑Cooperation Retrieval** – fetch dishes with help from another robot. | `-` | Perform | – | OR (child of G2) |
| G2.3 | **Human‑Cooperation Retrieval** – fetch dishes with help from a companion, nurse or upon a patient call. | `-` | Perform | – | OR (child of G2) |

**Justifications**

* **Achieve Goals (G0, G1, G2)** – These goals define desired future world states (meal delivered, dishes removed). Their fulfilment depends on the robot(s) bringing the environment into that state, matching the classic “achieve” definition.  
* **Perform Goals (G1.1, G1.2, G1.2.1‑4, G2.1‑3)** – Each specifies concrete activities that, when executed, bring about the desired change. They do not rely on querying or external state; the success is judged by execution of the associated tasks.  
* **Query Goal (G1.2.0)** – This goal only obtains information (whether a patient can retrieve the meal). It does not trigger an action, hence classified as a query.  

---

## 2. Task Model – Detailed Task Tables  

| **Name** | **Text** | **Relation** | **Location** | **Number of Robots** |
|----------|----------|--------------|--------------|-----------------------|
| AT1 | Move to kitchen and pick up meal | AND (child of G1.1) | kitchen | 1 |
| AT2 | Pick up meal from kitchen counter | AND | kitchen | 1 |
| AT3 | Navigate from kitchen to patient room | AND | hallway → patient room | 1 |
| AT4 | Attempt to open room door alone | OR (door‑open options) | room door | 1 |
| AT5 | Request human assistance to open door | OR | room door | 1 |
| AT6 | Request robot assistance to open door | OR | room door | 1 |
| AT7 | Place meal on patient’s room table | AND | patient room table | 1 |
| AT8 | Signal patient that meal is ready | AND (child of G1.2) | patient room | 1 |
| AT9 | Move to kitchen and pick up meal | AND (child of G1.2.1) | kitchen | 1 |
| AT10 | Pick up meal from kitchen counter | AND | kitchen | 1 |
| AT11 | Navigate from kitchen to patient room | AND | hallway → patient room | 1 |
| AT12 | Attempt to open room door alone | OR (door‑open options) | room door | 1 |
| AT13 | Request human assistance to open door | OR | room door | 1 |
| AT14 | Request robot assistance to open door | OR | room door | 1 |
| AT15 | Place tray in patient room | AND | patient room | 1 |
| AT16 | Signal patient to pick up meal from tray | AND | patient room | 1 |
| AT17 | Wait for patient retrieval | AND | patient room | 1 |
| AT18 | Confirm patient retrieved correct meal | AND | patient room | 1 |
| AT19 | Alert wrong meal if detected | AND | patient room | 1 |
| AT20 | Move to patient room to retrieve dishes | AND (child of G2.1) | hallway → patient room | 1 |
| AT21 | Attempt to open room door alone | OR (door‑open options) | room door | 1 |
| AT22 | Request human assistance to open door | OR | room door | 1 |
| AT23 | Request robot assistance to open door | OR | room door | 1 |
| AT24 | Identify dirty dishes in room | AND | patient room | 1 |
| AT25 | Pick up a dirty dish | AND | patient room | 1 |
| AT26 | Place dish in tray | AND | patient room | 1 |
| AT27 | Return to kitchen | AND | hallway → kitchen | 1 |
| AT28 | Move to patient room with another robot | AND (child of G2.2) | hallway → patient room | 2 |
| AT29 | Attempt to open door alone | OR (door‑open options) | room door | 2 |
| AT30 | Request robot assistance to open door | OR | room door | 2 |
| AT31 | Pick up dish with robot cooperation | AND | patient room | 2 |
| AT32 | Return to kitchen with partner robot | AND | hallway → kitchen | 2 |
| AT33 | Receive patient call to pick up dishes | AND (child of G2.3) | patient room | 1 |
| AT34 | Move to patient room | AND | hallway → patient room | 1 |
| AT35 | Pick up a dirty dish | AND | patient room | 1 |
| AT36 | Place dish in tray | AND | patient room | 1 |
| AT37 | Return to kitchen | AND | hallway → kitchen | 1 |

---

## 3. Summary Table – Goals & Tasks  

| **ID** | **Type** | **Title** |
|--------|----------|-----------|
| G0 | Goal | Complete Mission |
| G1 | Goal | Deliver Meal |
| G1.1 | Goal | Deliver to Table |
| G1.2 | Goal | Deliver to Tray & Retrieval |
| G1.2.0 | Goal | Query Retrieval Capability |
| G1.2.1 | Goal | Place Tray in Room |
| G1.2.2 | Goal | Wait for Retrieval |
| G1.2.3 | Goal | Confirm Retrieval |
| G1.2.4 | Goal | Alert Wrong Meal |
| G2 | Goal | Remove Dirty Dishes |
| G2.1 | Goal | Unassisted Retrieval |
| G2.2 | Goal | Robot‑Cooperation Retrieval |
| G2.3 | Goal | Human‑Cooperation Retrieval |
| AT1 | Task | Move to kitchen and pick up meal |
| AT2 | Task | Pick up meal from kitchen counter |
| AT3 | Task | Navigate from kitchen to patient room |
| AT4 | Task | Attempt to open room door alone |
| AT5 | Task | Request human assistance to open door |
| AT6 | Task | Request robot assistance to open door |
| AT7 | Task | Place meal on patient’s room table |
| AT8 | Task | Signal patient that meal is ready |
| AT9 | Task | Move to kitchen and pick up meal |
| AT10 | Task | Pick up meal from kitchen counter |
| AT11 | Task | Navigate from kitchen to patient room |
| AT12 | Task | Attempt to open room door alone |
| AT13 | Task | Request human assistance to open door |
| AT14 | Task | Request robot assistance to open door |
| AT15 | Task | Place tray in patient room |
| AT16 | Task | Signal patient to pick up meal from tray |
| AT17 | Task | Wait for patient retrieval |
| AT18 | Task | Confirm patient retrieved correct meal |
| AT19 | Task | Alert wrong meal if detected |
| AT20 | Task | Move to patient room to retrieve dishes |
| AT21 | Task | Attempt to open room door alone |
| AT22 | Task | Request human assistance to open door |
| AT23 | Task | Request robot assistance to open door |
| AT24 | Task | Identify dirty dishes in room |
| AT25 | Task | Pick up a dirty dish |
| AT26 | Task | Place dish in tray |
| AT27 | Task | Return to kitchen |
| AT28 | Task | Move to patient room with another robot |
| AT29 | Task | Attempt to open door alone |
| AT30 | Task | Request robot assistance to open door |
| AT31 | Task | Pick up dish with robot cooperation |
| AT32 | Task | Return to kitchen with partner robot |
| AT33 | Task | Receive patient call to pick up dishes |
| AT34 | Task | Move to patient room |
| AT35 | Task | Pick up a dirty dish |
| AT36 | Task | Place dish in tray |
| AT37 | Task | Return to kitchen |

---

## 4. Logical Relationships  

| **Parent → Children** | **Relation** | **Runtime** |
|------------------------|--------------|-------------|
| G0 → G1, G2 | AND | `#` |
| G1 → G1.1, G1.2 | OR | `FALLBACK(G1.1, G1.2)` |
| G1.2 → G1.2.0, G1.2.1, G1.2.2, G1.2.3, G1.2.4 | AND | `;` |
| G2 → G2.1, G2.2, G2.3 | OR | `FALLBACK(G2.1, G2.2, G2.3)` |
| G1.1 → AT1, AT2, AT3, AT4, AT5, AT6, AT7 | AND | `-` |
| G1.2.1 → AT15 | AND | `-` |
| G1.2.2 → AT17 | AND | `-` |
| G1.2.3 → AT18 | AND | `-` |
| G1.2.4 → AT19 | AND | `-` |
| G1.2 → AT8, AT9, AT10, AT11, AT12, AT13, AT14, AT15, AT16, AT17, AT18, AT19 | AND | `-` |
| G2.1 → AT20, AT21, AT22, AT23, AT24, AT25, AT26, AT27 | AND | `-` |
| G2.2 → AT28, AT29, AT30, AT31, AT32 | AND | `-` |
| G2.3 → AT33, AT34, AT35, AT36, AT37 | AND | `-` |

*Note:* The OR decomposition between the door‑opening tasks (AT4/AT5/AT6, AT12/AT13/AT14, etc.) is implicit within the parent goal’s AND relation: the robot may choose any one of the OR options; the overall goal succeeds when one succeeds. The runtime annotation for these OR groups is represented by the `OR` relation in the relationship table.
