| Name                                        | Text                                                                                                     |                                               Runtime | Goal Type | Target Condition / Enquired Information                                                                       | Relation | Justification                                                                                                                                                                            |
| ------------------------------------------- | -------------------------------------------------------------------------------------------------------- | ----------------------------------------------------: | --------- | ------------------------------------------------------------------------------------------------------------- | -------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **G1: Provide Inpatient Meal Logistics**    | Provide robotic support for meal delivery and dirty-dish retrieval in inpatient rooms.                   |                                            **G2#G18** | Achieve   | Target: meal logistics service is completed, including delivery and dish retrieval support.                   | AND      | The system must support both delivering food and retrieving dirty dishes, so both capabilities belong to the mission. They may occur independently, so parallel runtime is appropriate.  |
| **G2: Deliver Requested Meal Order**        | Deliver food from the kitchen to the correct inpatient room in response to a kitchen request.            |                                      **G3;G4;G7;G11** | Achieve   | Target: requested meal is delivered to the inpatient room.                                                    | AND      | Delivery is request-driven, begins at the kitchen, and ends in the inpatient room, so request handling, preparation, access, and transfer are all required sequentially.                 |
| **G3: Obtain Delivery Request**             | Obtain the kitchen delivery request and identify the meal, inpatient, and destination room.              |                                           **AT1#AT2** | Query     | Enquired information: kitchen request, meal identity, inpatient identity, destination room.                   | AND      | The system responds to kitchen delivery requests and may carry multiple meals, so it must know which meal belongs to which inpatient.                                                    |
| **G4: Prepare Meal Transport**              | Prepare the robot to carry one or more requested meals from the kitchen.                                 |                                             **G5;G6** | Achieve   | Target: correct meals are loaded and identifiable on the robot tray.                                          | AND      | The robot can carry multiple meals, so loading and maintaining meal identification are both necessary before transport.                                                                  |
| **G5: Load Meals at Kitchen**               | Load requested meals onto the robot tray at the kitchen.                                                 |                                               **AT3** | Achieve   | Target: requested meals are on the robot tray.                                                                | AND      | Food delivery starts from the kitchen, so loading must occur there.                                                                                                                      |
| **G6: Preserve Meal Identity**              | Keep each carried meal associated with the correct inpatient.                                            |                                               **AT4** | Achieve   | Target: every carried meal remains linked to its intended inpatient.                                          | AND      | Because the robot may carry multiple meals and must indicate which meal should be retrieved, meal identity must be preserved.                                                            |
| **G7: Reach and Access Inpatient Room**     | Navigate to the inpatient room and obtain access through the room door if needed.                        |                                             **G8;G9** | Achieve   | Target: robot is able to enter or serve at the inpatient room.                                                | AND      | The robot must reach the inpatient room, and room-door opening may require cooperation.                                                                                                  |
| **G8: Navigate to Inpatient Room**          | Move from the kitchen/service route to the target inpatient room.                                        |                                               **AT5** | Perform   | Action: navigation to inpatient room is performed.                                                            | AND      | Delivery requires movement from kitchen to inpatient room.                                                                                                                               |
| **G9: Open Room Door**                      | Obtain room access by having the door opened.                                                            |                                 **FALLBACK(G10,G11)** | Achieve   | Target: room door is open or access is possible.                                                              | AND      | Door opening may involve cooperation with a human or another robot; fallback captures trying one cooperative option and then another if needed.                                          |
| **G10: Human-Assisted Door Opening**        | Ask or rely on a person to open the room door.                                                           |                                               **AT6** | Perform   | Action: human door-opening cooperation is requested/performed.                                                | AND      | The mission states that opening the room door can involve cooperation with a human.                                                                                                      |
| **G11: Robot-Assisted Door Opening**        | Coordinate with another robot to open or assist with the room door.                                      |                                               **AT7** | Perform   | Action: robot-robot door-opening cooperation is performed.                                                    | AND      | The mission states that opening the room door can involve cooperation with another robot.                                                                                                |
| **G12: Complete Meal Transfer**             | Transfer the meal to the inpatient room table or have it retrieved from the robot tray.                  |                             **G13;FALLBACK(G14,G17)** | Achieve   | Target: meal is no longer on the robot tray and is available to the correct inpatient.                        | AND      | The robot must decide whether tray fetching is feasible, then perform either tray retrieval or table delivery.                                                                           |
| **G13: Assess Tray-Retrieval Feasibility**  | Determine whether the inpatient, companion, nurse, or another robot can retrieve the food from the tray. |                                           **AT8#AT9** | Query     | Enquired information: patient ability, companion presence, nurse availability, robot cooperation possibility. | AND      | Tray fetching requires cooperation, but patient ability and human availability are uncertain and must be checked.                                                                        |
